Navn,OrgNr,NACE_kode,NACE_beskrivelse,AntallAnsatte,aar,driftsinntekter,driftskostnad,driftsresultat,%Driftsmargin_BMRFY,finansinntekter,finanskostnader,%NettoFinansMargin_BMRFY,nettofinans,resultatFørSkatt,%ResultatFørSkatt_BMRFY,aarsresultat,%nettoresultatmargin_BMRFY,totalresultat,anleggsmidler,omlopsmidler,%likviditetsgrad_BMRFY,sumEiendeler,%ROA_BMRFY,innskuttEgenkapital,egenkapital,%egenkapitalandel_BMRFY,%ROE_BMRFY,sumGjeld,%gearing_BMRFY,%Gjeldsgrad_BMRFY,sumEgenkapitalGjeld,langsiktigGjeld,kortsiktigGjeld,omsetningPerAnsatt_BMRFY
MIDT-FINNMARK MOTOR AS,917338019,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,19168186,18651843,516343,"2,69 %",9858,169437,"-0,83 %",-159579,356764,"1,86 %",263735,"1,38 %",,705633,6705646,"156,96 %",7411278,"3,56 %",,1948856,"26,30 %","13,53 %",5462422,"73,70 %","280,29 %",7411279,1190333,4272089,3194698
MIDT-NORGE AUTOLAKK AS,996208478,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,11637933,11022883,615050,"5,28 %",12561,202322,"-1,63 %",-189761,425289,"3,65 %",412075,"3,54 %",412075,879265,3053893,"140,59 %",3933157,"10,48 %",,-10798,"-0,27 %","-3816,22 %",3943955,"100,27 %","-36524,87 %",3933157,1771820,2172135,1454742
MIDTNORGE BIL OG BOBILFORMIDLING AS,925076643,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",6,2023,47968944,46830324,1138620,"2,37 %",889,878584,"-1,83 %",-877696,260924,"0,54 %",260924,"0,54 %",,770881,10552133,"696,75 %",11323014,"2,30 %",,-694486,"-6,13 %","-37,57 %",12017500,"106,13 %","-1730,42 %",11323014,10503012,1514488,7994824
MILENA AS,917935440,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",5,2023,1290247,1399329,-109083,"-8,45 %",973,1506,"-0,04 %",-533,-109616,"-8,50 %",-78389,"-6,08 %",,61729,210720,"98,64 %",272449,"-28,77 %",,58814,"21,59 %","-133,28 %",213634,"78,41 %","363,24 %",272449,0,213634,258049
MINNESUND BIL AS,986296069,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",6,2023,6011907,5985751,26156,"0,44 %",1643,91491,"-1,49 %",-89849,-63692,"-1,06 %",-63692,"-1,06 %",-63692,116209,2220723,"485,61 %",2336932,"-2,73 %",,733290,"31,38 %","-8,69 %",1603642,"68,62 %","218,69 %",2336932,1146339,457303,1001985
MITT BILSKADESENTER AS,993561657,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,5309325,5839800,-530476,"-9,99 %",156,13308,"-0,25 %",-13152,-543627,"-10,24 %",-543627,"-10,24 %",,176854,1458536,"54,89 %",1635390,"-33,24 %",,-1021841,"-62,48 %","53,20 %",2657231,"162,48 %","-260,04 %",1635390,0,2657231,884888
MITT DEKKHOTELL ASKER AS,921766947,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",17,2023,16292846,19457730,-3164884,"-19,42 %",11610,86889,"-0,46 %",-75280,-3240164,"-19,89 %",-3240164,"-19,89 %",-3240164,961823,1842747,"79,81 %",2804570,"-115,53 %",,-18152618,"-647,25 %","17,85 %",20957188,"747,25 %","-115,45 %",2804570,18648377,2308812,958403
MITT DEKKHOTELL RØA AS,992122714,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",17,2023,19967192,16830322,3136871,"15,71 %",11739,97525,"-0,43 %",-85785,3051085,"15,28 %",2379846,"11,92 %",2379846,4282354,1971467,"37,61 %",6253821,"38,05 %",,807864,"12,92 %","294,58 %",5445957,"87,08 %","674,12 %",6253821,204394,5241563,1174541
MITT DEKKHOTELL ØKERN AS,997851781,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",35,2023,37874828,29592406,8282421,"21,87 %",13288,220191,"-0,55 %",-206903,8075519,"21,32 %",6298905,"16,63 %",6298905,10065068,4993911,"38,81 %",15058979,"41,83 %",,1901289,"12,63 %","331,30 %",13157691,"87,37 %","692,04 %",15058979,291045,12866646,1082138
MITT VERKSTED NORDÅS AS,920187897,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",12,2023,11628587,11193030,435557,"3,75 %",6207,15758,"-0,08 %",-9551,426006,"3,66 %",365214,"3,14 %",365214,966356,1385133,"66,40 %",2351489,"15,53 %",,265448,"11,29 %","137,58 %",2086042,"88,71 %","785,86 %",2351489,0,2086042,969049
MJA BILSERVICE AS,991877312,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,12433341,9778925,2654417,"21,35 %",106869,2752,"0,84 %",104117,2758534,"22,19 %",2148015,"17,28 %",2148015,323352,4039322,"98,54 %",4362673,"49,24 %",,256764,"5,89 %","836,57 %",4105909,"94,11 %","1599,10 %",4362673,6681,4099228,1554168
MJØSBIL AS,950223243,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",80,2023,113967989,117835188,-3867199,"-3,39 %",162953,1368363,"-1,06 %",-1205411,-5072610,"-4,45 %",-3956636,"-3,47 %",-3956636,6159346,32832282,"118,38 %",38991628,"-10,15 %",,903373,"2,32 %","-437,98 %",38088254,"97,68 %","4216,23 %",38991628,10354148,27734106,1424600
MJÅVANN DEKKSENTER AS,920511635,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",11,2023,30076050,28661601,1414449,"4,70 %",2343,11162,"-0,03 %",-8819,1405630,"4,67 %",1083216,"3,60 %",1083216,1931370,12306977,"150,02 %",14238347,"7,61 %",,5234861,"36,77 %","20,69 %",9003486,"63,23 %","171,99 %",14238347,800000,8203486,2734186
MKM BILSERVICE AS,997710436,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",7,2023,9413126,9638176,-225050,"-2,39 %",764,7225,"-0,07 %",-6462,-231511,"-2,46 %",-180875,"-1,92 %",-180875,362977,1467159,"103,37 %",1830136,"-9,88 %",,410745,"22,44 %","-44,04 %",1419390,"77,56 %","345,56 %",1830135,0,1419390,1344732
MOBILE ALNABRU AS,918004033,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",23,2023,2131578,8818267,-6686689,"-313,70 %",116861,67783,"2,30 %",49078,-6637611,"-311,39 %",-5177337,"-242,89 %",-5177337,2524609,47949814,"113,37 %",50474423,"-10,26 %",,5473716,"10,84 %","-94,59 %",45000708,"89,16 %","822,12 %",50474423,2705196,42295512,92677
MOBILE ARENDAL AS,917503680,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",15,2023,85498598,85622665,-124067,"-0,15 %",113621,118856,"-0,01 %",-5236,-129302,"-0,15 %",-102915,"-0,12 %",-102915,2356113,18737825,"203,41 %",21093938,"-0,49 %",,11662043,"55,29 %","-0,88 %",9431895,"44,71 %","80,88 %",21093938,220245,9211650,5699907
MOBILE AS,943416893,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",55,2023,250711000,218459000,32252000,"12,86 %",24232000,39207000,"-5,97 %",-14975000,17277000,"6,89 %",8672000,"3,46 %",,374185000,538285000,"85,96 %",912470000,"0,95 %",,286258000,"31,37 %","3,03 %",626211000,"68,63 %","218,76 %",912469000,0,626211000,4558382
MOBILE ASKER AS,954117774,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",25,2023,139883612,143678622,-3795010,"-2,71 %",10260,1325670,"-0,94 %",-1315411,-5110421,"-3,65 %",-3986128,"-2,85 %",-3986128,4071606,39755835,"158,60 %",43827441,"-9,10 %",,16990022,"38,77 %","-23,46 %",26837419,"61,23 %","157,96 %",43827441,1771348,25066071,5595344
MOBILE AUTO SØR AS,924469005,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",9,2023,51658625,56375751,-4717125,"-9,13 %",121489,1855410,"-3,36 %",-1733921,-6451046,"-12,49 %",-5035967,"-9,75 %",-5035967,4088788,18824205,"100,88 %",22912994,"-21,98 %",,3770745,"16,46 %","-133,55 %",19142248,"83,54 %","507,65 %",22912994,481829,18660419,5739847
MOBILE AUTO VESTFOLD AS,925281573,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",17,2023,81228156,82856317,-1628161,"-2,00 %",9270,1245930,"-1,52 %",-1236661,-2864822,"-3,53 %",-2237751,"-2,75 %",-2237751,1579917,37300460,"175,60 %",38880378,"-5,76 %",,17002259,"43,73 %","-13,16 %",21878119,"56,27 %","128,68 %",38880378,636487,21241632,4778127
MOBILE AUTOCAR AS,928385698,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",25,2023,75700744,76807960,-1107217,"-1,46 %",6197,853828,"-1,12 %",-847631,-1954848,"-2,58 %",-2586850,"-3,42 %",-2586850,2388556,18051405,"200,98 %",20439961,"-12,66 %",,4575335,"22,38 %","-56,54 %",15864626,"77,62 %","346,74 %",20439961,6882753,8981873,3028030
MOBILE AUTOPARTNER AS,984103131,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",19,2023,117400819,113772946,3627873,"3,09 %",58278,372247,"-0,27 %",-313969,3313904,"2,82 %",2584721,"2,20 %",2584721,2503104,28634523,"138,74 %",31137627,"8,30 %",,9547723,"30,66 %","27,07 %",21589904,"69,34 %","226,13 %",31137627,950292,20639612,6178990
MOBILE BØ AS,950160675,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",16,2023,109276958,106565217,2711742,"2,48 %",18277,431024,"-0,38 %",-412748,2298994,"2,10 %",1797713,"1,65 %",1797713,1965729,21153591,"123,35 %",23119320,"7,78 %",,5447526,"23,56 %","33,00 %",17671795,"76,44 %","324,40 %",23119320,521995,17149800,6829810
MOBILE DRAMMEN AS,939401423,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",27,2023,235897872,231540300,4357572,"1,85 %",190701,1441367,"-0,53 %",-1250666,3106906,"1,32 %",2424752,"1,03 %",2424752,3029683,44722899,"119,64 %",47752582,"5,08 %",,8399950,"17,59 %","28,87 %",39352632,"82,41 %","468,49 %",47752582,1972364,37380268,8736958
MOBILE ELVERUM AS,819496072,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",31,2023,183638465,187228639,-3590173,"-1,96 %",22269,1533758,"-0,82 %",-1511489,-5101662,"-2,78 %",-3983963,"-2,17 %",-3983963,9097117,59527734,"101,07 %",68624851,"-5,81 %",,8802572,"12,83 %","-45,26 %",59822280,"87,17 %","679,60 %",68624851,925634,58896646,5923821
MOBILE ENSJØ AS,974210215,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",26,2023,205763418,215340316,-9576898,"-4,65 %",23587,1696851,"-0,81 %",-1673264,-11250163,"-5,47 %",-8775551,"-4,26 %",-8775551,2791324,47583750,"126,79 %",50375073,"-17,42 %",,11119909,"22,07 %","-78,92 %",39255164,"77,93 %","353,02 %",50375073,1724650,37530514,7913978
MOBILE FOLLO AS,913963857,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",25,2023,196776873,192460710,4316163,"2,19 %",55763,535932,"-0,24 %",-480168,3835995,"1,95 %",2992077,"1,52 %",2992077,4456069,33280218,"158,02 %",37736287,"7,93 %",,14378775,"38,10 %","20,81 %",23357512,"61,90 %","162,44 %",37736287,2296523,21060989,7871075
MOBILE FREDRIKSTAD AS,915803199,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",15,2023,86344606,86490302,-145696,"-0,17 %",44030,514488,"-0,54 %",-470457,-616153,"-0,71 %",-478400,"-0,55 %",-478400,2091694,23273409,"152,19 %",25365103,"-1,89 %",,8835891,"34,83 %","-5,41 %",16529212,"65,17 %","187,07 %",25365103,1237113,15292099,5756307
MOBILE FURNES AS,983818668,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",23,2023,44244296,49910933,-5666636,"-12,81 %",20910,645846,"-1,41 %",-624936,-6291572,"-14,22 %",-3325110,"-7,52 %",-3325110,772617,37329139,"134,15 %",38101756,"-8,73 %",,10106995,"26,53 %","-32,90 %",27994761,"73,47 %","276,98 %",38101756,168271,27826490,1923665
MOBILE GJØVIK AS,941528600,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",19,2023,84409237,87385884,-2976646,"-3,53 %",9051,1262632,"-1,49 %",-1253581,-4230228,"-5,01 %",-3299577,"-3,91 %",-3299577,1938977,33929222,"122,20 %",35868199,"-9,20 %",,7878074,"21,96 %","-41,88 %",27990126,"78,04 %","355,29 %",35868199,225744,27764382,4442591
MOBILE HAMAR AS,915981674,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",22,2023,152801619,151019192,1782427,"1,17 %",47895,797994,"-0,49 %",-750099,1032327,"0,68 %",805216,"0,53 %",805216,2069417,41303513,"137,56 %",43372930,"1,86 %",,12153220,"28,02 %","6,63 %",31219710,"71,98 %","256,88 %",43372930,1194634,30025076,6945528
MOBILE HOKKSUND AS,990964262,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",29,2023,196932341,197767266,-834925,"-0,42 %",128420,501621,"-0,19 %",-373201,-1208125,"-0,61 %",-943818,"-0,48 %",-943818,7453282,45271926,"126,81 %",52725208,"-1,79 %",,16058187,"30,46 %","-5,88 %",36667021,"69,54 %","228,34 %",52725208,967765,35699256,6790770
MOBILE HØNEFOSS AS,984060343,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",16,2023,99038308,98770635,267673,"0,27 %",103994,1142788,"-1,05 %",-1038794,-771121,"-0,78 %",-602354,"-0,61 %",-602354,2229595,44877238,"145,99 %",47106833,"-1,28 %",,16117054,"34,21 %","-3,74 %",30989779,"65,79 %","192,28 %",47106833,250852,30738927,6189894
MOBILE JARLSBERG AS,861635392,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",35,2023,235821546,231496224,4325321,"1,83 %",73178,824030,"-0,32 %",-750852,3574469,"1,52 %",2787473,"1,18 %",2787473,4130547,41160129,"125,24 %",45290676,"6,15 %",,9836544,"21,72 %","28,34 %",35454132,"78,28 %","360,43 %",45290676,2588205,32865927,6737758
MOBILE JESSHEIM AS,996493717,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",22,2023,138697004,138147166,549838,"0,40 %",12958,1460192,"-1,04 %",-1447234,-897396,"-0,65 %",-702949,"-0,51 %",-702949,4298064,34334244,"137,85 %",38632308,"-1,82 %",,12155413,"31,46 %","-5,78 %",26476895,"68,54 %","217,82 %",38632308,1570752,24906143,6304409
MOBILE KJELLER AS,996926176,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",48,2023,236267971,232943470,3324502,"1,41 %",19362,1436820,"-0,60 %",-1417458,1907044,"0,81 %",1485651,"0,63 %",1485651,3673569,55231915,"117,07 %",58905484,"2,52 %",,9929997,"16,86 %","14,96 %",48975486,"83,14 %","493,21 %",58905484,1796084,47179402,4922249
MOBILE KOKSTAD AS,952574329,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",70,2023,398454128,398054803,399325,"0,10 %",128374,1469220,"-0,34 %",-1340846,-941521,"-0,24 %",-748072,"-0,19 %",-748072,5699357,64348875,"146,08 %",70048232,"-1,07 %",,23403656,"33,41 %","-3,20 %",46644576,"66,59 %","199,30 %",70048232,2592895,44051681,5692202
MOBILE KONGSBERG AS,860759772,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",14,2023,143778259,149444505,-5666247,"-3,94 %",59745,1235798,"-0,82 %",-1176052,-6842299,"-4,76 %",-5339776,"-3,71 %",-5339776,4878593,53945584,"114,78 %",58824177,"-9,08 %",,10556226,"17,95 %","-50,58 %",48267951,"82,05 %","457,25 %",58824177,1268235,46999716,10269876
MOBILE KONGSVINGER AS,915086268,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",21,2023,98887605,99998294,-1110690,"-1,12 %",16387,958055,"-0,95 %",-941667,-2052357,"-2,08 %",-1601652,"-1,62 %",-1601652,3174718,34604532,"114,47 %",37779250,"-4,24 %",,7077612,"18,73 %","-22,63 %",30701638,"81,27 %","433,79 %",37779250,470639,30230999,4708934
MOBILE LARVIK AS,997253701,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",37,2023,223910566,218467401,5443164,"2,43 %",125042,705496,"-0,26 %",-580454,4862711,"2,17 %",3792916,"1,69 %",3792916,4706639,43974076,"139,83 %",48680715,"7,79 %",,14923777,"30,66 %","25,42 %",33756938,"69,34 %","226,20 %",48680715,2307658,31449280,6051637
MOBILE LJOSLAND AS,978627188,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",51,2023,297160395,290405173,6755222,"2,27 %",29872,1337091,"-0,44 %",-1307219,5448003,"1,83 %",4242260,"1,43 %",4242260,5774006,56206517,"139,94 %",61980522,"6,84 %",,19585236,"31,60 %","21,66 %",42395287,"68,40 %","216,47 %",61980522,2229129,40166158,5826674
MOBILE MOSS AS,931963708,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",23,2023,119923031,118303908,1619122,"1,35 %",65831,199532,"-0,11 %",-133701,1485421,"1,24 %",1158630,"0,97 %",1158630,2001565,23619521,"199,34 %",25621087,"4,52 %",,12808448,"49,99 %","9,05 %",12812639,"50,01 %","100,03 %",25621087,963888,11848751,5214045
MOBILE OSLO AS,960678869,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",30,2023,200747592,202745617,-1998025,"-1,00 %",23917,819141,"-0,40 %",-795224,-2793250,"-1,39 %",-2179989,"-1,09 %",-2179989,8153194,40740546,"141,12 %",48893740,"-4,46 %",,16979194,"34,73 %","-12,84 %",31914547,"65,27 %","187,96 %",48893740,3045296,28869251,6691586
MOBILE RØDBERG AS,975951588,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",10,2023,36707556,32753647,3953909,"10,77 %",204397,66977,"0,37 %",137419,4091328,"11,15 %",3192242,"8,70 %",3192242,15899469,18214751,"414,27 %",34114220,"9,36 %",,29674400,"86,99 %","10,76 %",4439820,"13,01 %","14,96 %",34114220,42951,4396869,3670756
MOBILE SARPSBORG AS,960660463,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",15,2023,81290567,80835499,455068,"0,56 %",67094,46891,"0,02 %",20203,475271,"0,58 %",370712,"0,46 %",370712,1759454,17280245,"318,19 %",19039698,"1,95 %",,12849097,"67,49 %","2,89 %",6190602,"32,51 %","48,18 %",19039698,759756,5430846,5419371
MOBILE SKIEN AS,861151972,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",49,2023,333610873,328837433,4773441,"1,43 %",59250,1149281,"-0,33 %",-1090031,3683410,"1,10 %",2873060,"0,86 %",2873060,3438094,67052080,"140,89 %",70490175,"4,08 %",,18576671,"26,35 %","15,47 %",51913503,"73,65 %","279,46 %",70490175,4320234,47593269,6808385
MOBILE SKØYEN AS,821021502,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",18,2023,181367769,177337570,4030199,"2,22 %",8860,762958,"-0,42 %",-754098,3276102,"1,81 %",2555360,"1,41 %",2555360,7672793,28909256,"111,23 %",36582049,"6,99 %",,9535909,"26,07 %","26,80 %",27046140,"73,93 %","283,62 %",36582049,1055303,25990837,10075987
MOBILE SØRLANDSPARKEN AS,946252611,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",76,2023,371301878,380353700,-9051822,"-2,44 %",56600,3046480,"-0,81 %",-2989880,-12041702,"-3,24 %",-9401025,"-2,53 %",-9401025,18913081,66616455,"99,08 %",85529536,"-10,99 %",,14864563,"17,38 %","-63,24 %",70664973,"82,62 %","475,39 %",85529536,3433160,67231813,4885551
MOBILE ÅSANE AS,979383924,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",29,2023,228120412,235304202,-7183790,"-3,15 %",40258,2915521,"-1,26 %",-2875262,-10059053,"-4,41 %",-7848979,"-3,44 %",-7848979,4822047,66743409,"128,00 %",71565456,"-10,97 %",,17231617,"24,08 %","-45,55 %",54333838,"75,92 %","315,31 %",71565456,2192023,52141815,7866221
MOBILEZENTRUM AS,995403455,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",9,2023,116907637,111246911,5660726,"4,84 %",306210,2289060,"-1,70 %",-1982851,3677875,"3,15 %",2793936,"2,39 %",2793936,4553012,80225133,"119,82 %",84778145,"3,30 %",,11126741,"13,12 %","25,11 %",73651404,"86,88 %","661,93 %",84778145,6696008,66955396,12989737
MOBILEZERVICE AS,991509739,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",5,2023,7302333,7036837,265496,"3,64 %",324972,492810,"-2,30 %",-167838,97658,"1,34 %",18863,"0,26 %",18863,6193177,6342248,"321,79 %",12535425,"0,15 %",,2299066,"18,34 %","0,82 %",10236359,"81,66 %","445,24 %",12535425,8265414,1970945,1460467
MOBITECH AS,950426977,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",9,2023,31363337,31394228,-30890,"-0,10 %",111999,53662,"0,19 %",58337,27446,"0,09 %",110906,"0,35 %",110906,1628102,11696839,"147,11 %",13324941,"0,83 %",,5373916,"40,33 %","2,06 %",7951025,"59,67 %","147,96 %",13324941,0,7951025,3484815
MODUL-SYSTEM AS,911743787,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",21,2023,79944101,74371756,5572345,"6,97 %",42111,2181150,"-2,68 %",-2139040,3433305,"4,29 %",2725363,"3,41 %",2725363,1622314,26762368,"237,29 %",28384682,"9,60 %",,12788861,"45,06 %","21,31 %",15595822,"54,94 %","121,95 %",28384683,4317369,11278453,3806862
MODUM BILLAKKSENTER AS,998550297,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,16220755,15877126,343629,"2,12 %",304,25208,"-0,15 %",-24904,318725,"1,96 %",231376,"1,43 %",,1626749,2620467,"156,08 %",4247216,"5,45 %",,2325231,"54,75 %","9,95 %",1921985,"45,25 %","82,66 %",4247216,243077,1678908,2027594
MOELV BIL & CARAVAN AS,925379131,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",16,2023,51225868,49754271,1471597,"2,87 %",13216,1024137,"-1,97 %",-1010921,460677,"0,90 %",357621,"0,70 %",357621,359638,21652724,"122,61 %",22012362,"1,62 %",,4209657,"19,12 %","8,50 %",17802705,"80,88 %","422,90 %",22012362,143586,17659119,3201617
MOGTEK AS,964470502,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",11,2023,14387118,15473604,-1086486,"-7,55 %",71437,345725,"-1,91 %",-274288,-1360774,"-9,46 %",-1360774,"-9,46 %",-1360774,1019829,3365128,"59,40 %",4384956,"-31,03 %",,-3930651,"-89,64 %","34,62 %",8315607,"189,64 %","-211,56 %",4384956,2650268,5665339,1307920
MOLDE AUTOSALG AS,918165665,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",6,2023,25326878,25464151,-137272,"-0,54 %",2286,234247,"-0,92 %",-231961,-369233,"-1,46 %",-274549,"-1,08 %",,974066,5993873,"137,01 %",6967939,"-3,94 %",,2593102,"37,21 %","-10,59 %",4374837,"62,79 %","168,71 %",6967939,0,4374837,4221146
MONGSTAD BIL & DEKK AS,926753592,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",11,2023,4879366,4894885,-15519,"-0,32 %",,20949,"-0,43 %",-20949,-36468,"-0,75 %",-36468,"-0,75 %",,276092,322039,"21,81 %",598131,"-6,10 %",,-1015747,"-169,82 %","3,59 %",1613878,"269,82 %","-158,89 %",598131,137650,1476228,443579
MOPEDBIL NORGE AS,997493249,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",23,2023,128539276,116198465,12340811,"9,60 %",354308,2040167,"-1,31 %",-1685858,10654953,"8,29 %",8289158,"6,45 %",8289158,5616972,42506062,"138,31 %",48123034,"17,22 %",,9656815,"20,07 %","85,84 %",38466218,"79,93 %","398,33 %",48123034,7732715,30733504,5588664
